Top-10 Library,# Total APIs,# Non-Void,# Selected,# Inferred APIs (Step 2),# Inferred APIs (Step 3),Total infered,Coverage,External,Input-related
request,560,392,354,232,8,240,67.79661017,2,36
Six,32,23,19,5,0,5,26.31578947,0,4
Flask,325,240,179,115,3,118,65.92178771,22,39
Django,7388,5515,4791,3074,267,3341,69.73491964,77,647
Jinja2,688,476,403,264,19,283,70.22332506,16,57
Numpy,3133,2762,2370,1473,126,1599,67.46835443,102,290
pytz,76,70,57,37,1,38,66.66666667,3,10
MarkupSafe,32,30,24,23,0,23,95.83333333,2,4
Werkzeug,1042,714,622,426,52,478,76.8488746,38,54
pytest,1473,906,807,580,29,609,75.46468401,11,88
Total,14749,11128,9626,6229,505,6734,69.95636817,273,1229
