Name,Total,Non-void,method 1,method 2,method 3,method 4,Choose Any
requests,560,392,24,0,0,0,24
six,32,23,0,0,0,0,0
Flask,325,239,11,0,0,0,11
Django,7388,5527,329,0,0,0,329
Jinja2,685,477,39,0,0,0,39
Numpy,3131,2767,365,0,0,100,444
pytz,76,70,1,0,0,0,1
MarkupSafe,32,30,0,0,30,0,30
Werkzeug,1042,718,44,0,461,158,623
pytest,1471,909,34,0,798,0,798
gunicorn,391,178,2,0,0,0,2
python-dateutil,273,219,10,0,0,0,10
PyYAML,348,202,7,0,0,0,7
Pillow,1068,690,55,0,0,0,55
click,454,335,21,0,0,0,21
Sphinx,4058,1982,26,4,1968,0,1972
itsdangerous,66,54,3,0,42,0,43
coverage,533,353,48,0,0,0,48
mock,144,102,4,0,0,0,4
nose,662,368,20,0,0,0,20
SQLAlchemy,6504,4481,175,62,31,0,260
certifi,1,1,0,0,0,0,0
matplotlib,5610,3165,253,0,0,0,253
pandas,5538,4620,546,0,1980,0,2241
urllib3,204,142,8,0,0,0,8
chardet,128,79,0,0,0,0,0
flake8,304,194,31,106,0,0,116
idna,110,107,0,0,0,0,0
Pygments,780,573,8,0,0,0,8
lxml,309,203,17,0,0,0,17
ipython,1728,1017,94,0,28,0,113
beautifulsoup4,365,175,20,0,0,0,20
pyparsing,341,251,17,0,10,0,25
setuptools,813,547,17,0,0,0,17
argparse,118,66,0,0,0,0,0
Flask-SQLAlchemy,71,47,2,0,0,0,2
redis,460,384,69,0,0,0,69
djangorestframework,844,665,41,0,0,0,41
tornado,998,531,38,5,526,0,531
decorator,10,7,0,0,0,0,0
pytest-cov,59,22,0,0,0,0,0
dj-database-url,2,2,0,0,0,0,0
Markdown,367,217,17,0,0,0,17
pylint,1341,743,90,0,112,0,169
tox,613,361,4,0,355,0,355
Babel,422,360,17,0,0,0,17
pymongo,1539,1108,41,0,0,0,41
py,558,382,29,0,0,0,29
virtualenv,620,409,0,0,0,0,0
pycparser,605,308,2,0,0,0,2
colorama,48,25,0,0,0,0,0
jsonschema,138,122,3,0,0,0,3
mccabe,33,8,0,0,0,0,0
pexpect,219,90,23,0,0,0,23
packaging,184,164,3,164,0,0,164
WTForms,208,119,3,0,0,0,3
html5lib,317,238,4,0,0,0,4
pyOpenSSL,279,172,62,0,0,0,62
selenium,617,360,32,0,0,0,32
pyasn1,534,459,13,0,0,0,13
gevent,1616,915,54,0,0,0,54
traitlets,367,234,16,0,0,0,16
attrs,118,99,9,0,0,15,24
Mako,463,240,10,0,0,0,10
Cython,4924,2993,38,0,0,0,38
pickleshare,22,14,0,0,0,0,0
pep8,80,63,1,0,0,0,1
pyflakes,161,74,3,5,0,0,8
whitenoise,80,59,0,0,0,0,0
tqdm,64,50,1,0,0,0,1
pbr,150,96,5,0,0,0,5
appdirs,19,18,7,0,0,0,7
Flask-Login,49,39,9,0,0,0,9
ptyprocess,36,26,9,0,0,0,9
wcwidth,6,6,2,0,0,0,2
enum34,40,33,4,0,0,0,4
protobuf,1409,487,44,4,0,0,46
pyzmq,508,265,23,0,9,2,30
psutil,425,377,44,0,0,0,44
sqlparse,159,107,7,0,0,0,7
django-debug-toolbar,223,162,7,0,0,0,7
isort,268,202,25,0,99,0,108
django-extensions,507,300,12,9,0,0,20
oauthlib,365,221,16,0,0,0,16
sphinx_rtd_theme,3,2,1,0,0,0,1
bleach,371,284,11,0,0,0,11
boto3,329,186,11,0,0,0,11
h5py,231,172,9,0,0,0,9
paramiko,841,510,104,0,0,0,104
tensorflow,22375,17372,1710,2,26,0,1732
requests-oauthlib,40,27,3,0,0,0,3
alembic,751,493,22,0,0,0,22
pycodestyle,90,74,1,0,0,0,1
Cycler,18,17,3,0,0,0,3
networkx,1702,1468,364,0,2,0,365
jupyter,0,0,0,0,0,0,0
zope.interface,507,242,4,0,0,0,4
astroid,1080,896,172,0,9,0,178
CherryPy,739,380,27,0,0,0,27
greenlet,0,0,0,0,0,0,0
,97814,67762,5510,361,6486,275,12073
,,,0.081314011,0.00532747,0.095717364,0.004058322,0.178167705
,,,84,9,17,4,
